id,Keys,Times,Orientation,ThreeLiner
504,Eb,"2/2, 2/4, 6/8, 3/4, 4/4",full,0
505,G,4/4,full,0
506,G,4/4,full,0
507,Bb,3/4,full,0
508,Bb,6/4,full,0
509,Ab,2/2,full,0
510,F,6/4,full,0
511,F,4/4,full,0
512,Eb,4/4,full,0
513,E,2/4,full,0
514,E min,4/4,full,0
515,A,2/2,full,0
516,F,4/4,full,0
517,Eb,4/4,full,0
518,Bb,4/4,full,0
519,Eb,4/4,full,0
520,F,3/4,full,0
521,F,4/4,full,0
522,Eb,4/4,full,0
523,D,4/4,full,0
524,E min,4/4,full,0
525,A,4/4,full,0
526,E min,4/4,full,0
527,Bb,6/4,full,0
528,F,4/4,full,0
529,A min,4/4,full,0
530,Eb,4/4,full,0
531,F,4/4,full,0
532,G min,6/4,full,0
533,Bb,4/4,full,0
534,E min,3/2,full,0
535,F,4/4,full,0
536,D,2/2,full,0
537,F,4/4,full,0
538,F,4/4,full,0
539,Eb,4/4,full,0
540,F,4/4,full,0
541,F,4/4,full,0
542,F,4/4,full,0
543,E min,4/4,full,0
544,E min,4/4,full,0
545,A,3/4,full,0
546,Bb,4/4,full,0
547,A min,2/4,full,0
548,G,4/4,full,0
549,F,2/2,top,0
550,Bb,3/4,bottom,0
551,F,4/4,full,0
552,Bb,6/4,full,0
553,F,4/4,full,0
554,G,4/4,full,0
